figure,series,cohort,criterion,metric,seed,value,mean,sample_sd
03,gatv2_self_only → gatv2,feb20_matched,fixed_0_5,delta_false_positive_rate,456,3.610238636773891e-05,2.681891558746319e-05,1.1181158365015138e-05
03,gatv2_self_only → gatv2,feb20_matched,fixed_0_5,delta_false_positive_rate,789,4.125987013455875e-05,2.681891558746319e-05,1.1181158365015138e-05
03,gatv2_self_only → gatv2,feb20_matched,fixed_0_5,delta_false_positive_rate,1024,1.547245130045953e-05,2.681891558746319e-05,1.1181158365015138e-05
03,transformer_L1 → transformer_L64,phase5_matched,fixed_0_5,delta_false_positive_rate,42,-0.0018510356985456146,-0.0010000400657077604,0.0012314245957051047
03,transformer_L1 → transformer_L64,phase5_matched,fixed_0_5,delta_false_positive_rate,123,-0.0001923153972514923,-0.0010000400657077604,0.0012314245957051047
03,transformer_L1 → transformer_L64,phase5_matched,fixed_0_5,delta_false_positive_rate,456,0.000520854200889459,-0.0010000400657077604,0.0012314245957051047
03,transformer_L1 → transformer_L64,phase5_matched,fixed_0_5,delta_false_positive_rate,789,-0.0009375375616010248,-0.0010000400657077604,0.0012314245957051047
03,transformer_L1 → transformer_L64,phase5_matched,fixed_0_5,delta_false_positive_rate,1024,-0.002540165872030129,-0.0010000400657077604,0.0012314245957051047
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fixed_0_5,delta_false_positive_rate,42,1.5472451300459534e-05,-5.1574837668198435e-05,4.158096346076728e-05
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fixed_0_5,delta_false_positive_rate,123,-5.673232143501829e-05,-5.1574837668198435e-05,4.158096346076728e-05
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fixed_0_5,delta_false_positive_rate,456,-4.64173539013786e-05,-5.1574837668198435e-05,4.158096346076728e-05
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fixed_0_5,delta_false_positive_rate,789,-7.736225650229766e-05,-5.1574837668198435e-05,4.158096346076728e-05
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fixed_0_5,delta_false_positive_rate,1024,-9.283470780275719e-05,-5.1574837668198435e-05,4.158096346076728e-05
03,edge_mlp → gatv2,feb20_matched,fpr_at_most_0.01,delta_f1,42,-0.010180264339549105,0.00331628374385573,0.019744316231324992
03,edge_mlp → gatv2,feb20_matched,fpr_at_most_0.01,delta_f1,123,0.00034531094926515404,0.00331628374385573,0.019744316231324992
03,edge_mlp → gatv2,feb20_matched,fpr_at_most_0.01,delta_f1,456,0.03798499353173457,0.00331628374385573,0.019744316231324992
03,edge_mlp → gatv2,feb20_matched,fpr_at_most_0.01,delta_f1,789,-0.0064197345985818055,0.00331628374385573,0.019744316231324992
03,edge_mlp → gatv2,feb20_matched,fpr_at_most_0.01,delta_f1,1024,-0.00514888682359016,0.00331628374385573,0.019744316231324992
03,gatv2_self_only → gatv2,feb20_matched,fpr_at_most_0.01,delta_f1,42,-0.019060131620405985,-0.010703846307527898,0.005421013591231679
03,gatv2_self_only → gatv2,feb20_matched,fpr_at_most_0.01,delta_f1,123,-0.011105575513915555,-0.010703846307527898,0.005421013591231679
03,gatv2_self_only → gatv2,feb20_matched,fpr_at_most_0.01,delta_f1,456,-0.007101015064719607,-0.010703846307527898,0.005421013591231679
03,gatv2_self_only → gatv2,feb20_matched,fpr_at_most_0.01,delta_f1,789,-0.004863409854670486,-0.010703846307527898,0.005421013591231679
03,gatv2_self_only → gatv2,feb20_matched,fpr_at_most_0.01,delta_f1,1024,-0.011389099483927856,-0.010703846307527898,0.005421013591231679
03,transformer_L1 → transformer_L64,phase5_matched,fpr_at_most_0.01,delta_f1,42,0.0018700584533878524,0.00151626517713764,0.0008050060095099283
03,transformer_L1 → transformer_L64,phase5_matched,fpr_at_most_0.01,delta_f1,123,0.002222490548671942,0.00151626517713764,0.0008050060095099283
03,transformer_L1 → transformer_L64,phase5_matched,fpr_at_most_0.01,delta_f1,456,0.0006818850372796968,0.00151626517713764,0.0008050060095099283
03,transformer_L1 → transformer_L64,phase5_matched,fpr_at_most_0.01,delta_f1,789,0.0006139624978414512,0.00151626517713764,0.0008050060095099283
03,transformer_L1 → transformer_L64,phase5_matched,fpr_at_most_0.01,delta_f1,1024,0.0021929293485072575,0.00151626517713764,0.0008050060095099283
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fpr_at_most_0.01,delta_f1,42,0.004837887872556013,-0.00027561638731308233,0.005313360262446115
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fpr_at_most_0.01,delta_f1,123,0.0033057208088154155,-0.00027561638731308233,0.005313360262446115
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fpr_at_most_0.01,delta_f1,456,-0.007008180319414525,-0.00027561638731308233,0.005313360262446115
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fpr_at_most_0.01,delta_f1,789,-0.004910561626475407,-0.00027561638731308233,0.005313360262446115
03,gat_transformer_L1 → gat_transformer_L8,feb20_matched,fpr_at_most_0.01,delta_f1,1024,0.0023970513279530925,-0.00027561638731308233,0.005313360262446115
03,edge_mlp → gatv2,feb20_matched,fpr_at_most_0.01,delta_false_positive_rate,42,-0.0026561041399122197,-0.004069254692020857,0.0034404804558849852
03,edge_mlp → gatv2,feb20_matched,fpr_at_most_0.01,delta_false_positive_rate,123,-0.0031563800652937447,-0.004069254692020857,0.0034404804558849852
03,edge_mlp → gatv2,feb20_matched,fpr_at_most_0.01,delta_false_positive_rate,456,-0.010180872955702372,-0.004069254692020857,0.0034404804558849852
03,edge_mlp → gatv2,feb20_matched,fpr_at_most_0.01,delta_false_positive_rate,789,-0.0021713006658311542,-0.004069254692020857,0.0034404804558849852
03,edge_mlp → gatv2,feb20_matched,fpr_at_most_0.01,delta_false_positive_rate,1024,-0.002181615633364794,-0.004069254692020857,0.0034404804558849852
03,gatv2_self_only → gatv2,feb20_matched,fpr_at_most_0.01,delta_false_positive_rate,42,1.547245130045953e-05,-0.00021867731171316138,0.0005063351643865256
03,gatv2_self_only → gatv2,feb20_matched,fpr_at_most_0.01,delta_false_positive_rate,123,1.547245130045953e-05,-0.00021867731171316138,0.0005063351643865256
03,gatv2_self_only → gatv2,feb20_matched,fpr_at_most_0.01,delta_false_positive_rate,456,0.0,-0.00021867731171316138,0.0005063351643865256
03,gatv2_self_only → gatv2,feb20_matched,fpr_at_most_0.01,delta_false_positive_rate,789,-0.001124331461166726,-0.00021867731171316138,0.0005063351643865256
